start_x,start_y,goal_x,goal_y,path_length
2.7729,0.8921,2.8487,1.622,0.7356
2.7832,0.9916,2.8487,1.622,0.6356
2.8542,1.4856,2.8487,1.622,0.1365
2.2348,-2.4219,-2.8969,-1.2359,5.2778
1.9197,-2.3093,-2.8969,-1.2359,4.9432
1.4654,-2.2109,-2.8969,-1.2359,4.4783
1.1745,-2.12,-2.8969,-1.2359,4.1736
0.8633,-2.0275,-2.8969,-1.2359,3.8489
0.7047,-1.9771,-2.8969,-1.2359,3.6825
0.4678,-1.8978,-2.8969,-1.2359,3.4327
0.2822,-1.8463,-2.8969,-1.2359,3.24
0.0184,-1.7723,-2.8969,-1.2359,2.966
-0.331,-1.7022,-2.8969,-1.2359,2.6097
-0.8153,-1.6136,-2.8969,-1.2359,2.1174
-1.1927,-1.5383,-2.8969,-1.2359,1.7325
-1.4681,-1.4902,-2.8969,-1.2359,1.4529
-1.9071,-1.4112,-2.8969,-1.2359,1.0069
-2.1051,-1.3646,-2.8969,-1.2359,0.8035
-2.3398,-1.3456,-2.8969,-1.2359,0.568
-2.6877,-1.286,-2.8969,-1.2359,0.2151
0.5285,0.301,-2.1256,-2.6146,4.0634
0.4792,0.0371,-2.1256,-2.6146,3.7949
0.4707,-0.0837,-2.1256,-2.6146,3.6738
0.4118,-0.2948,-2.1256,-2.6146,3.4547
0.2682,-0.4465,-2.1256,-2.6146,3.2458
-0.1081,-0.7413,-2.1256,-2.6146,2.7678
-0.2301,-0.8784,-2.1256,-2.6146,2.5842
-0.4593,-1.0479,-2.1256,-2.6146,2.2992
-0.6041,-1.1978,-2.1256,-2.6146,2.0907
-0.7149,-1.2809,-2.1256,-2.6146,1.9523
-0.9443,-1.4339,-2.1256,-2.6146,1.6765
-1.2732,-1.7559,-2.1256,-2.6146,1.2162
-1.3696,-1.8813,-2.1256,-2.6146,1.058
-1.5794,-2.148,-2.1256,-2.6146,0.7187
-1.8583,-2.3975,-2.1256,-2.6146,0.3445
-2.0327,-2.5339,-2.1256,-2.6146,0.123
1.7471,1.1693,1.9337,-1.8314,3.0208
1.7681,0.8452,1.9337,-1.8314,2.696
1.7361,0.5182,1.9337,-1.8314,2.3674
